raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
927,154,208,10,11,0.0,55,0 days 00:00:00,0.0,36.0,10.0,0 days 00:01:44.812000,190.386,11
927,831,15,16,12,0.0,55,0 days 00:00:00,0.0,45.0,4.0,0 days 00:01:43.902000,192.054,11
927,815,10,14,13,0.0,55,0 days 00:00:00,0.0,37.0,14.0,0 days 00:01:45.345000,189.423,11
927,807,10,13,14,0.0,55,0 days 00:00:00,0.0,46.0,11.0,0 days 00:01:44.822000,190.368,11
927,833,209,19,15,0.0,53,0 days 00:00:00,0.0,44.0,19.0,0 days 00:01:49.040000,183.004,13
927,813,208,12,16,0.0,47,0 days 00:00:00,0.0,38.0,12.0,0 days 00:01:45.070000,189.919,31
927,18,1,17,17,0.0,41,0 days 00:00:00,0.0,38.0,16.0,0 days 00:01:46.056000,188.153,101
927,4,1,18,18,0.0,21,0 days 00:00:00,0.0,17.0,17.0,0 days 00:01:48.460000,183.983,132
927,828,15,9,19,0.0,3,0 days 00:00:00,0.0,3.0,18.0,0 days 00:01:48.760000,183.475,20
927,829,209,0,20,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,203.083332223146,69
928,1,131,1,1,25.0,56,0 days 01:39:42.008000,5982008.0,31.0,1.0,0 days 00:01:42.208000,191.996,1
928,3,131,2,2,18.0,56,0 days 01:39:42.722000,5982722.0,39.0,2.0,0 days 00:01:42.565000,191.328,1
928,20,6,3,3,15.0,56,0 days 01:39:44.996000,5984996.0,15.0,5.0,0 days 00:01:43.018000,190.487,1
928,8,6,6,4,12.0,56,0 days 01:39:45.843000,5985843.0,48.0,6.0,0 days 00:01:43.026000,190.472,1
928,13,3,4,5,10.0,56,0 days 01:39:50.552000,5990552.0,37.0,4.0,0 days 00:01:42.734000,191.013,1
928,822,3,5,6,8.0,56,0 days 01:39:51.893000,5991893.0,37.0,7.0,0 days 00:01:43.051000,190.426,1
928,154,208,8,7,6.0,56,0 days 01:40:01.016000,6001016.0,34.0,8.0,0 days 00:01:43.134000,190.272,1
